Unnamed: 0,symbol,2022-05-12
300,BTCST,861568.56498655
301,VTHO,2433075.50513019
302,ERG,68463231.79753217
303,HERO,5357228.69802138
304,ACH,13208417.16500033
305,MBOX,1904299.00423327
306,REP,28040366.23081173
307,OXT,11704093.65273856
308,SPA,11288973.94263791
309,HOO,83669049.78101982
310,WRX,22609138.27362027
311,SSV,16977696.7672531
312,CRTS,20402231.65043228
313,SUPER,2855759.87192578
314,CUSD,2540469.16799621
315,OGN,5224533.04810346
316,METIS,180725631.94372597
317,PRO,5689319.03395694
318,LQTY,17318721.04057901
319,ALICE,28939153.08377505
320,BOBA,3259417.57224747
321,GTN,6698440.96161757
322,ANC,2092939.31387158
323,ETN,6676337.0933027
324,ALPHA,4703325.99003689
325,XVG,189417855.01181614
326,DEP,2169550.99380426
327,META,567458.97569976
328,BAL,3673399.34417907
329,PEOPLE,91912986.40138185
330,DVF,180579.5498835
331,BFC,768541.87532056
332,BRG,57719502.97519377
333,RSR,6219559.63180402
334,QKC,5333240.20955321
335,SSX,6030328.59014245
336,ORC,5300123.64686567
337,AGIX,4248751.94041812
338,KLV,10699022.40402613
339,STPT,1782351.37619125
340,vBUSD,43814975.41014921
341,YGG,0
342,STRAX,24238187.90257443
343,STAKE,315879.63230417
344,BADGER,12933323.722073
345,CORE,13546054.61440182
346,RLC,115271.22726242
347,EXRD,455029.41081313
348,MV,50176264.89610916
349,VAI,2548480.67172254
350,ZB,3627916.75368521
351,NEST,8373626.63588588
352,CTK,18139585.93879221
353,REEF,6657654.97228578
354,DMCH,0
355,PLTC,43357795.26806065
356,MTL,273876.90906018
357,UFO,19309612.89597345
358,MBL,10295711.06280284
359,AURY,1670038.61604493
360,VERI,24135.95011499
361,FOX,48864670.56414668
362,HI,3283337.06815851
363,ALEPH,1870715.16894298
364,WOZX,279739.83866044
365,BAND,14785.82952172
366,aETHc,4904537.39445432
367,IQ,2342823.63218478
368,KAI,6131679.59273734
369,RAD,69180145.60351202
370,MLN,147762194.22357994
371,AKT,6407921.7887028
372,BICO,12418120.73825156
373,ANT,30114371.33609932
374,POLS,11771272.53978457
375,ONUS,170413.1770417
376,NKN,1660664.3191941
377,QC,5130987.17730271
378,ARK,53109923.47229382
379,BNANA,4686014.90135172
380,API3,236249.76524911
381,EGG,2284094.79519684
382,WMT,3152158.20754202
383,UQC,21797823.58740967
384,UTK,8168032.29213245
385,TOMO,921376.31377941
386,MWC,97559.3572488
387,PROM,48013.0491485
388,ZLW,19036772.18490623
389,SAFEMOON,3652399.36126776
390,DUSK,6255457.09559463
391,XPR,436361.39002447
392,CFG,2503171.87530796
393,XCAD,10523920.95265888
394,YOOSHI,1049064.68636107
395,AXEL,2801699.17775946
396,DKA,100143.46800118
397,JASMY,294605683.25887907
398,TT,1637365.91494879
399,EUM,9823045.85184181
400,MC,567407.66480993
401,DPI,74262632.44995204
402,FLETA,11273468.40386001
403,ALT,0
404,ORN,8144217.05937793
405,FWT,1537177.08114338
406,MASK,670240.50759558
407,NOIA,769849.20358344
408,MUSD,31070316.90303191
409,XNC,12690.83810771
410,XVS,2136066.26401677
411,HUNT,9698346.79802128
412,DVI,69989096.41741262
413,LCX,2860264.22676
414,PNY,161301.52599319
415,SPS,900475.46972869
416,RAI,1630632.14305216
417,UBT,355474.07577498
418,BAKE,13539195.81095303
419,DG,2374842.29421808
420,MONA,12681268.28684136
421,ALPACA,5730263.91176179
422,BLOK,7993537.73070912
423,LOOM,36976681.91370305
424,RMRK,8646775.86856244
425,GMT,535964.40398824
426,YFII,8790134.66888179
427,BMX,3438241.88480423
428,TRU,6379638.47349061
429,ALCX,2346406.63952999
430,CRE,405958.07433559
431,PEAK,5542864.54673558
432,HNS,11983724.848271
433,ZEON,2660862.62473082
434,CQT,461074.34627748
435,AERGO,148744.40776
436,AIOZ,223120.29309566
437,LON,34407563.0308876
438,ARPA,7408122.91634531
439,SWAP,3938007.0035963
440,BIFI,874081.54034935
441,MOF,10220422.20842954
442,FORTH,14812972.85968455
443,STARL,30011471.25853007
444,GXC,4112565.49066837
445,WAN,18461104.79381976
446,TORN,708157.98007306
447,BZRX,16069972.46773876
448,SFP,2965677.95422794
449,MFT,269.01719293
450,SERO,10942846.69693833
451,BTS,3333579.0979354
452,LAT,698321.79536068
453,DDX,3799002.47869137
454,HTR,2546496.31757903
455,HYDRA,1023306.62352419
456,ELA,1287086.48907163
457,KIN,4890023.67042411
458,ULT,27531.86567474
459,KILT,0
460,vUSDT,310546.76526116
461,SOV,6037563.44641837
462,SFUND,834058.02239322
463,NSBT,954365.02686521
464,XHV,3754525.68476365
465,TPT,3023331.86142526
466,SWP,6369.12770704
467,CON,1007266.70251441
468,QOM,642947.66614031
469,DPR,1625493.05279117
470,BOR,13423257.8035386
471,AVA,15286499.60464081
472,CLT,104733.07955988
473,ROOK,5393294.73800463
474,ATOLO,9197114.04809418
475,ZASH,1541087.23574662
476,RISE,11773924.35540643
477,MLK,336063.93762139
478,COVAL,1188805.74207845
479,GENE,3522579.60182912
480,BETA,8244542.37184442
481,VXV,463322.04759257
482,AQT,55350167.6719463
483,ALI,767265.98605447
484,EFI,5369572.73573358
485,CLV,6778139.04944565
486,VEGA,28692796.18122479
487,MOC,21362632.84858692
488,NMC,7094324.27183565
489,VRA,33076.23316923
490,WNXM,1636391.57218508
491,BCD,1244726.83612502
492,UPP,4106405.38176979
493,BOO,298290.88481311
494,NRG,4909752.45671283
495,RSV,16635880.42762651
496,TKO,230940.69755359
497,QRDO,7114.75324054
498,USDK,2347830.37133661
499,CBK,125293761.88509104
500,QUACK,24815503.7561943
501,GRS,329202.14126125
502,LTO,778394.99686122
503,NYE,8295361.30332479
504,REV,17034856.95657733
505,AGLD,4089482.86705689
506,KMD,4066786.80165241
507,RFR,36264256.34766257
508,PHA,9929292.62907235
509,ADX,2975449.89455198
510,POND,88374.56518298
511,VRSC,16314895.36798371
512,FLM,5945427.971919
513,GTC,61226.50544666
514,DXD,188207.35506344
515,APX,4846078.99442122
516,CET,21139922.71369634
517,AE,3457794.94119459
518,MCT,3263868.02896268
519,SOUL,648355.32194773
520,SDAO,2671744.19055898
521,IDEX,1291985.43997532
522,WILD,1060813.15461708
523,MNW,3957571.24471978
524,CUDOS,192073.51049289
525,BABY,3076788.67620097
526,BTSE,99815450.41667327
527,DAD,1343500.03934465
528,KRT,37999184.58478203
529,SOFI,12474419.19849363
530,COCOS,347389.87941846
531,NIF,2103146.3905706
532,FIDA,21671729.23544193
533,mIAU,5085944.96962301
534,SOS,1144079.48858232
535,TLM,76.47735316
536,DGD,2644944.28325656
537,BOSON,34595059.31057233
538,VELO,1739202.21825501
539,VOXEL,997606.48986611
540,IHF,51671750.34324506
541,OXEN,13786937.79708724
542,KP3R,22836402.04342681
543,FARM,1539956.53167494
544,NFTX,7542295.00373714
545,LINA,697345.1954594
546,BIOT,22738.28548767
547,COS,7162322.42294422
548,DIA,3038192.88870599
549,PNK,7979562.72542115
550,HEZ,2443930.6879193
551,PRE,428267.42986221
552,TIME,345901.25927096
553,XWG,2478933.33438803
554,SIX,5949763.09740572
555,SBD,14939106.05038157
556,IRIS,15537783.77747985
557,LA,202307400.97861338
558,GF,23916.2550155
559,ATA,108904471.95490025
560,DERC,5464205.32861935
561,SLP,4811950.62075496
562,WNCG,7921625.14691307
563,BOND,33259744.65750743
564,H2O,1769017.46145083
565,BZZ,5351783.40762195
566,MSOL,37146314.8133637
567,HOPR,105275563.66272216
568,WHALE,1048057.8088937
569,NGM,1058847.54653789
570,GOM2,915632.421207
571,BLCT,1736366.05470869
572,MIR,6231.98652652
573,LOKA,9797451.52539147
574,YLD,639288.07127082
575,QASH,194546.77850848
576,RBN,1501449.03557657
577,TVK,2800674.59129219
578,ASM,5656111.2254583
579,MET,1338750.427937
580,TROY,8854652.34820736
581,GRID,16067389.88902661
582,CIV,368102.79846339
583,DNT,4445.44451229
584,GYEN,47191.95808715
585,ERN,2659046.35002397
586,NCT,567579.94078054
587,CUBE,1564851.26129671
588,FIO,2812994.22106046
589,CXO,1076317.68669286
590,STC,186007.17309562
591,SAMO,6746179.54870333
592,ATLAS,1864111.74026523
593,RARI,7731199.72986274
594,QQQ,91102.04257229
595,LTX,1515012.86024694
596,RVP,230015.19272158
597,RFOX,1483817.20224077
598,VBIT,48962.99447691
599,QUICK,10797036.37185611
600,BF,535290.69318273
601,VR,537423.57195324
602,GAS,14438773.63082938
603,MAP,41505.51271867
604,DX,7578447.80993653
605,CTCN,78858.10493294
606,KRL,3811057.47002302
607,XDEFI,1843192.92054145
608,ALBT,1527221.94265473
609,QSP,6389938.57959146
610,"FCT,FCT2",5751079.98025817
611,OM,852133.64948559
612,DATA,18018974.89796857
613,HIGH,5984067.70736898
614,XMON,8465581.41601362
615,ZNN,3261965.48607457
616,MDT,1995509.81174389
617,GAFI,65646.32373254
618,POSI,988280.10643045
619,AHT,24370316.50498152
620,CHESS,5538298.41525856
621,AMO,843916.8887419
622,BSCPAD,1595467.9506201
623,MARO,1188960.53706449
624,DEXE,5513895.28024216
625,PKT,12512311.2779043
626,RSS3,13922289.89949356
627,FIRO,23566941.57655195
628,ALPINE,56640.53016375
629,BLZ,3601024.62053529
630,MOBI,54055.93036701
631,AKRO,13521287.00948251
632,FSN,110014.18292481
633,ASK,2517036.57787019
634,BUX,1424089.83586521
635,SDN,5584899.19463306
636,CTXC,894202.92005121
637,KAR,5025676.31132364
638,GET,1367843.0315797
639,HARD,56576.4423859
640,SCP,5999502.37173965
641,IDIA,1483940.99181317
642,QRL,28247.99496869
643,CERE,11595176.03494164
644,PDEX,20160954.41708466
645,BTR,1029397.11970255
646,THG,9505177.80536747
647,SAITO,2970129.92471034
648,BIDR,48027562.949092
649,LIT,13851584.90938424
650,RARE,109489204.36906299
651,LOG,3374067.00608745
652,MIX,167480.67509761
653,DODO,12096076.06651857
654,NULS,0
655,MATH,2606904.55173856
656,CHP,447373.49658732
657,vXVS,141595.40237075
658,USDJ,16891727.13664264
659,EDG,1244608.17123107
660,BANANA,29473944.00852408
661,IDRT,1090292.92903103
662,BCN,41107.17518593
663,NIM,436391.65111558
664,REAP,31081.45208483
665,SAN,1277222.24492714
666,HDAO,888249.27389542
667,POLIS,1221495.60427846
668,TRB,110168.15344734
669,MAPS,3032425.46892791
670,URUS,491832.40807539
671,DEXT,163263.49566844
672,RAMP,6154193.39031994
673,BTM,5848543.83912654
674,GXT,13995478.3964764
675,FRONT,2212501.89617611
676,WICC,549797.79330492
677,APL,1274584.0993531
678,PRQ,125644.25406362
679,PLU,1244720.13929411
680,ICHI,2059896.93650429
681,KEY,844440.16460074
682,PSG,187542.10824842
683,MEV,11046752.50104366
684,ADP,9060620.2675723
685,CITY,507955.3516789
686,QTCON,7731428.96395793
687,DREP,441223.16472138
688,BOA,1007728.9728224
689,XCP,895306.99286572
690,NWC,75285.44407402
691,BASIC,4832374.78597168
692,AION,2147205.77236523
693,SHPING,9041250.62223585
694,NUM,802374.1796762
695,STACK,6311746.71882836
696,STT,667805.0562466
697,ZCN,191097.84229694
698,CRPT,328811.15652231
699,GPX,624636.48522987
700,KAN,153321.34334419
701,DVPN,72621.79511906
702,ARV,927318.51947609
703,TABOO,70073.03472087
704,VEED,548045.59763748
705,ARIA20,30107.10918231
706,TNB,14961395.95793807
707,SOLVE,840028.0269721
708,BEL,5430546.15728023
709,CREAM,973320.54508071
710,BEAM,5976084.81952143
711,FIS,12628884.23856624
712,EPIC,3699353.42916783
713,SLIM,3366472.71985205
714,DOCK,3172805.92845723
715,TNC,575432.23063536
716,CLO,4150632.24281696
717,KDAG,1031890.54460274
718,NBS,44988.58890887
719,MVC,802873.87418424
720,EL,616216.35995419
721,DFL,4894406.67036047
722,ZBC,2511920.58902606
723,INSUR,2545077.60453808
724,DG,44976.99251289
725,CELL,696513.6550592
726,OLT,40639.64868722
727,BIR,69007.4901974
728,MITH,5458063.32473404
729,DOV,2219112.50177499
730,SWTH,2273340.1370599
731,CTX,598200.11786234
732,BAR,24075.85722896
733,ID,433073.47164793
734,BEPRO,2344160.63373773
735,RDD,502822.98906547
736,EVZ,31963.84775256
737,ANCT,5813.37115702
738,SHX,105137.93900885
739,GBYTE,147419.21750853
740,BAN,1982333.67369008
741,HAI,18205.89906841
742,PROB,2257679.16448348
743,RAINI,13085455.67937661
744,WOOP,5154068.49777819
745,VTC,406152.810523
746,VISR,0
747,TMTG,308169.20482509
748,DORA,3432749.0310718
749,LBL,70624.5074104
750,ALU,375298.60613763
751,CVP,223438.3920959
752,TEMCO,518863.85432492
753,PEX,675274.76178939
754,UNCX,306679.66451866
755,NEW,397066.82399281
756,FO,218585.01120696
757,ZKS,0
758,XOR,2451023.62730803
759,LBC,14520025.98844958
760,BTU,64536.20937268
761,PZM,1455.57882859
762,HPT,223938.02724901
763,WTC,2471676.29611418
764,PAC,1666615.52483541
765,HOGE,305793.819555
766,GTO,1702802.94282367
767,CAPS,4389857.30313748
768,OOKI,97313.85121971
769,ONIT,1462.22726939
770,BTC2,92417.67340714
771,SUKU,457402.31422682
772,ERC20,263.4389499
773,DFA,9720963.52705881
774,IFC,774.60204469
775,LGCY,5709991.82424256
776,TOC,607.03967182
777,PALLA,259865.46211006
778,BTRS,255319.11880722
779,DF,1298409.22412159
780,VSYS,123315.91141743
781,OBSR,2599098.55095054
782,CRA,3255573.2952275
783,GCR,6501525.74909035
784,PNT,0
785,VITE,4362174.91169497
786,MEETONE,382.30735437
787,PUSH,943731.12590135
788,LAZIO,1429964.29169358
789,GO,6328127.86720344
790,VEE,1582.17036119
791,REVV,791350.21459112
792,AOG,1563686.18332916
793,PENDLE,4141.84018921
794,MATTER,783590.32378082
795,CWV,648559.8935329
796,PCX,1536412.66134727
797,GST,1156753.32376314
798,PKF,50862751.10124298
799,FLX,830780.85267488
800,PPC,0
801,CGG,7889.56152444
802,METAG,1854897.10243522
803,STOS,1243668.60768861
804,FUSE,0
805,LOTTO,51296.25135337
806,LNR,4566112.22857504
807,STANDARD,908919.73242021
808,NFTD,184969.15168978
809,NXS,318883.64850108
810,XNO,12381162.28228894
811,AUCTION,3683353.52145375
812,PORTO,1119351.70551182
813,GHX,114828.18463589
814,ERA,89673.73602599
815,ROUTE,28395.88708059
816,FOAM,391796.43450391
817,SOCKS,250369.89611023
818,VID,609511.60946035
819,ES,3603192.55305567
820,PLANETS,66455.38908322
821,AST,304644.01095917
822,PART,922487.67650686
823,NEX,555.7169316
824,GRIN,369736.31746202
825,HIBS,91790.48737822
826,MOBIC,287091.95919548
827,ASTA,1896512.91635415
828,SHIRYO,722493.16477476
829,SOC,952299.27140956
830,INV,143420.24858803
831,GLCH,585431.7917275
832,SIGNA,5175.13571163
833,RBC,875709.10896303
834,OPUL,93964.1810662
835,VRT,3146198.0676805
836,DRGN,3315449.37443583
837,PAID,169182.77494886
838,SLRS,198396.1561605
839,DAPS,11698773.91081337
840,GMM,22.9254926
841,FOR,145311.6156005
842,SNTVT,342013.13709108
843,DEGO,7305325.01879505
844,GFI,1294339.56019054
845,EPIK,13961238.38695955
846,BURGER,6965037.39400083
847,HC,719160.67250742
848,ACM,830697.21086438
849,BLP,192049.57517341
850,ONE,956678.26646945
851,ABT,67864.02275132
852,APM,0
853,UPUNK,218657.0204373
854,BAX,2817445.97381206
855,SHR,237443.48208644
856,HOTCROSS,8669257.26711515
857,NFTY,25803483.89940346
858,ZIG,334482.64056554
859,UNFI,1077609.27122199
860,XPX,95670.42839557
861,TEN,839.46939587
862,BTCP,774173.51731508
863,MHC,32175.51968968
864,VSP,18483.09035917
865,RAE,146401.6436378
866,WIKEN,394947.31929938
867,CYCLUB,892605.799298
868,MINT,1924267.46262021
869,XEP,768818.26594426
870,ORAI,1173053.98037976
871,INTER,4521940.77894827
872,SHFT,11429650.68810388
873,VIDT,51456.89478601
874,SANTOS,2664184.10083172
875,AUTO,627623.7281192
876,DIGG,3381919.95075584
877,IPAD,325010.29144141
878,OOE,4945524.1596574
879,APY,75221.7978335
880,DACXI,102777.16301725
881,GAL,43008.88193614
882,GODS,113667.64453646
883,K21,127810.45246077
884,PIVX,2848512.95017936
885,O3,4028520.73311581
886,ATRI,194726.0912042
887,LSS,419566.27665982
888,OPCT,2848679.34259602
889,PERL,67516.02554818
890,GOC,172799.38615873
891,EMRX,5266033.81970632
892,IQN,24370.60080301
893,XMC,49951.63510227
894,SYLO,0
895,vDAI,479667.42233392
896,TRIX,662267.11242915
897,TCT,2299184.16453234
898,KYL,231315.64630261
899,BELT,0
900,WING,381057.36793695
901,MBN,2900244.12137715
902,THN,767831.69340299
903,DSLA,745709.6972408
904,LIKE,288543.30597687
905,MSB,1508245.74754642
906,BTNT,10871.7617956
907,DOGEDASH,377879.10534829
908,MTV,312735.02202922
909,BETU,37498.64968266
910,SFI,73852.52359418
911,DERI,158823.31252873
912,GOVI,645822.61869123
913,PPT,690355.54873274
914,ABYSS,8748.79835636
915,MAHA,4590044.47848649
916,NOW,346595.45858906
917,STARS,3879239.7056634
918,VEMP,38790.45288921
919,STAX,401.52678516
920,IGNIS,1388595.19411892
921,SPARTA,2733.65871147
922,PNG,331538.27812151
923,SCC,53140.49082472
924,VAL,1092679.2731636
925,TFT,457684.48772113
926,RING,2001272.70942452
927,CGT,2525523.81462516
928,HAPI,0
929,CHI,310389.71778874
930,SWASH,65050.55567757
931,LNC,182685.28881113
932,KALM,1149657.41836943
933,PORNROCKET,666417.56416074
934,ZYN,648534.04561827
935,AAB,282028.67456941
936,SEELE,25027.62899929
937,POOLZ,269696.40761752
938,TONE,208766.76150961
939,MCB,450472.16230364
940,MOD,5803550.47580472
941,BLY,379323.10160115
942,GATE,229412.80754952
943,DOE,445674.73482521
944,PRIMATE,529.54814362
945,CHNG,1300129.38105077
946,PI,5199567.67172643
947,MOOV,295892.56903587
948,TON,0
949,vLTC,1006934.91487419
950,SHA,81018.71909902
951,TREEB,4290220.67793541
952,MLT,1073871.45511754
953,HAM,578284.11082769
954,BFT,749230.11270192
955,PRISM,13526.24044076
956,TRV,98995.53787584
957,MANDOX,125122.99382087
958,NAV,31019.98571815
959,TXA,516126.41917573
960,TULIP,353173.81837546
961,XED,670517.20036726
962,DTEP,462323.10219796
963,ROOBEE,739686.97839987
964,ZANO,94659.66827485
965,VIDYA,1724.5017184
966,POLK,43702.4002228
967,DXL,740295.00048409
968,LIKE,460559.52212402
969,STRX,512203.68890561
970,BIP,25.255824
971,IPX,70326.32013581
972,BAAS,1988993.57418384
973,AVT,50662.80532047
974,DEXA,62459.30776925
975,DIP,555411.73815466
976,INXT,325220.79706013
977,PMON,184085.42756732
978,LITH,1697080.37689262
979,ONSTON,50.02526844
980,KMON,5713266.91581088
981,KARMA,480584.84226313
982,BAO,373720.17650176
983,KUNCI,2933183.61261135
984,NAS,10205.11796911
985,CRP,847222.13095419
986,mTSLA,385853.68244128
987,SWOP,470923.43842565
988,DMD,46636.65270836
989,ACE,0
990,WOM,349478.25647778
991,SLICE,2564960.52212603
992,UPI,124295.390855
993,CARBON,1592754.5422346
994,ATM,28031.04921413
995,LEVL,143524.95322766
996,SPH,974507.12692142
997,AGRS,501843.59961281
998,SHILL,163088.99002486
999,SHI,11412.55188554
1000,BITCNY,144732.88700775
1001,ETP,63832.60175361
1002,BRD,265183.68217079
